Brand,Family,Reference,Name,Movement,Produced,Limited,Bezel,Glass,Back,Shape,Diameter,Height,Lug Width,W/R,Nickname,Color,Finish,Indexes,Hands,Price,Materials
Rolex,Daytona,116506-0001 (aka: m116506-0001),Cosmograph Daytona Platinum / Cerachrom / Ice Blue,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2013,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,Ice Blue,Blue,Sunburst,Stick / Dot,Stick,"""69200""","Ceramic, Platinum"
Rolex,Daytona,126500LN-0001,Cosmograph Daytona Stainless Steel - Cerachrom / White / Oyster,"Rolex caliber 4131
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,11.90 mm,20.00 mm,100.00 m,,White,,Stick / Dot,Stick,"""15100""","Ceramic, Stainless Steel"
Rolex,Daytona,116515LN-0012,Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2017 - 2019,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"""26600""","Ceramic, Rose Gold"
Rolex,Daytona,116500LN-0001 (aka: m116500ln-0001),Cosmograph Daytona Steel / Cerachrom / White,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,Matte,Stick / Dot,Stick,NA,"Ceramic, Stainless Steel"
Rolex,Daytona,116500LN-0002 (aka: m116500ln-0002),Cosmograph Daytona Steel / Cerachrom / Black,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,NA,"Ceramic, Stainless Steel"
Rolex,Daytona,126506-0001 (aka: M126506-0001),Cosmograph Daytona Platinum - Cerachrom / Ice Blue / Oyster,"Rolex caliber 4131
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2023,No,Tachymeter,Sapphire,Open,Round,40.00 mm,11.90 mm,20.00 mm,100.00 m,,Blue,Sunburst,Stick / Dot,Stick,NA,"Ceramic, Stainless Steel"
Rolex,Daytona,116520-0016,Cosmograph Daytona Steel / White,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2000 - 2011,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,White,,Stick / Dot,Stick,"""11050""",
Rolex,Daytona,116515LN-0017 (aka: M116515ln-0017),Cosmograph Daytona Everose / Cerachrom / Black / Oysterflex,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2019 - 2023,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Black,,Stick / Dot,Stick,"""28200""","Ceramic, Rose Gold"
Rolex,Daytona,116508-0013 (aka: m116508-0013),Cosmograph Daytona Yellow Gold / Green,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Green,Sunburst,Stick / Dot,Stick,"""34800""",
Rolex,Daytona,116509-0071 (aka: m116509-0071),Cosmograph Daytona White Gold / Blue,"Rolex caliber 4130
Hours, Minutes, Small Seconds | Chronograph, Column wheel | Chronometer",2016,No,Tachymeter,Sapphire,Closed,Round,40.00 mm,12.40 mm,20.00 mm,100.00 m,,Blue,Sunburst,Stick / Dot,Stick,"""37400""",
