Brand,Family,Name,Reference,Limited,Glass,Shape,Diameter,W/R,Color,image_file,image_file_processed
Girard-Perregaux,1966,1966 30mm Pink Gold / Diamond / Champagne / Alligator,49528D52A131-CB6A,No,Sapphire,Round,30.00 mm,30.00 m,Champagne,49528D52A131-CB6A.jpg,processed_49528D52A131-CB6A.jpg
Girard-Perregaux,1966,1966 36mm Stainless Steel / Silver / Alligator,49523-11-171-CB6A,No,Sapphire,Round,36.00 mm,30.00 m,Silver,49523-11-171-CB6A.jpg,processed_49523-11-171-CB6A.jpg
Girard-Perregaux,Vintage 1945,Vintage 1945 XXL Large Date and Moonphases Titanium DLC / Grey Sapphire,25882-21-223-BF6A,No,Sapphire,Rectangular,36.10 mm,,Grey,25882-21-223-BF6A.jpg,processed_25882-21-223-BF6A.jpg
Girard-Perregaux,1966,1966 38 Pink Gold Black / Diamond / Silver / Alligator,49525D52A1A1-BK6A,No,Sapphire,Round,38.00 mm,30.00 m,Silver,49525D52A1A1-BK6A.jpg,processed_49525D52A1A1-BK6A.jpg
Girard-Perregaux,1966,1966 41 White Gold Blue,49527-53-432-BB4A,No,Sapphire,Round,41.00 mm,30.00 m,Blue,49527-53-432-BB4A.jpg,processed_49527-53-432-BB4A.jpg
Girard-Perregaux,Bridges,Classic Bridges 45mm Pink Gold / Alligator,86000-52-001-BB6A,No,Sapphire,Round,45.00 mm,30.00 m,Skeleton,86000-52-001-BB6A.jpg,processed_86000-52-001-BB6A.jpg
Girard-Perregaux,Vintage 1945,Vintage 1945 XXL Large Date and Moonphases Stainless Steel / Grey Sapphire,25882-11-223-BB6B,No,Sapphire,Rectangular,36.10 mm,,Grey,25882-11-223-BB6B.jpg,processed_25882-11-223-BB6B.jpg
Girard-Perregaux,Laureato,Laureato 45 Tourbillon Titanium / White Gold / Grey / Alligator,99105-41-232-BB64,No,Sapphire,Round,45.00 mm,50.00 m,Grey,99105-41-232-BB64.jpg,processed_99105-41-232-BB64.jpg
Girard-Perregaux,Laureato,Laureato 42 Chronograph Stainless Steel / Blue / Bracelet,81020-11-431-11A,No,Sapphire,Round,42.00 mm,100.00 m,Blue,81020-11-431-11A.jpg,processed_81020-11-431-11A.jpg
Girard-Perregaux,Vintage 1945,Vintage 1945 Earth To Sky Edition,25882-21-423-BB4A,No,Sapphire,Rectangular,36.10 mm,,Blue,25882-21-423-BB4A.jpg,processed_25882-21-423-BB4A.jpg
Girard-Perregaux,1966,1966 36mm Stainless Steel / Silver / Bracelet,49523-11-171-11A,No,Sapphire,Round,36.00 mm,30.00 m,Silver,49523-11-171-11A.jpg,processed_49523-11-171-11A.jpg
Girard-Perregaux,Laureato,Laureato 41 Automatic Stainless Steel / Silver,81000-11-131-11A,"Yes, 225 units",Sapphire,Round,41.00 mm,30.00 m,Silver,81000-11-131-11A.jpg,processed_81000-11-131-11A.jpg
Girard-Perregaux,1966,1966 Annual Calendar Equation of Time White Gold,49538-53-133-BK6A,No,Sapphire,Round,40.00 mm,30.00 m,Silver,49538-53-133-BK6A.jpg,processed_49538-53-133-BK6A.jpg
Girard-Perregaux,1966,1966 38 Pink Gold / Silver / Alligator,49525-52-133-BB60,No,Sapphire,Round,38.00 mm,30.00 m,Silver,49525-52-133-BB60.jpg,processed_49525-52-133-BB60.jpg
Girard-Perregaux,1966,1966 Annual Calendar Equation of Time Pink Gold Grey,49538-52-231-BK6A,No,Sapphire,Round,40.00 mm,30.00 m,Grey,49538-52-231-BK6A.jpg,processed_49538-52-231-BK6A.jpg
Girard-Perregaux,Vintage 1945,Vintage 1945 XXL Large Date and Moonphases Stainless Steel / Silver,25882-11-121-BB6B,No,Sapphire,Rectangular,36.10 mm,,Silver,25882-11-121-BB6B.jpg,processed_25882-11-121-BB6B.jpg
Girard-Perregaux,1966,1966 36mm Stainless Steel / Diamond / Pink / Alligator,49523D11A1837CKDB,No,Sapphire,Round,36.00 mm,30.00 m,Pink,49523D11A1837CKDB.jpg,processed_49523D11A1837CKDB.jpg
Girard-Perregaux,Bridges,Neo Tourbillon with Three Bridges Skeleton Titanium,99295-21-000-BA6A,No,Sapphire,Round,45.00 mm,30.00 m,Skeleton,99295-21-000-BA6A.jpg,processed_99295-21-000-BA6A.jpg
Girard-Perregaux,Laureato,Laureato 42 Automatic Stainless Steel / Silver,81010-11-131-11A,No,Sapphire,Round,42.00 mm,100.00 m,Silver,81010-11-131-11A.jpg,processed_81010-11-131-11A.jpg
Girard-Perregaux,1966,1966 The Chamber of Wonders Terrestrial Map,49534-52-R05-BB60,"Yes, 18 units",Sapphire,Round,40.00 mm,30.00 m,White,49534-52-R05-BB60.jpg,processed_49534-52-R05-BB60.jpg
Girard-Perregaux,1966,1966 The Chamber of Wonders Peal of Wonders,49534-52-R04-BB60,"Yes, 18 units",Sapphire,Round,40.00 mm,30.00 m,Blue,49534-52-R04-BB60.jpg,processed_49534-52-R04-BB60.jpg
Girard-Perregaux,Laureato,Laureato 42 Automatic Stainless Steel / Silver / Alligator,81010-11-131-BB6A,No,Sapphire,Round,42.00 mm,100.00 m,Silver,81010-11-131-BB6A.jpg,processed_81010-11-131-BB6A.jpg
Girard-Perregaux,Laureato,Laureato 45 Tourbillon Titanium / Pink Gold / Grey / Alligator,99105-26-231-BB6A,No,Sapphire,Round,45.00 mm,50.00 m,Grey,99105-26-231-BB6A.jpg,processed_99105-26-231-BB6A.jpg
Girard-Perregaux,1966,1966 36mm Stainless Steel / Diamond / Taupe / Alligator,49523D11A271-CKBA,No,Sapphire,Round,36.00 mm,30.00 m,Grey,49523D11A271-CKBA.jpg,processed_49523D11A271-CKBA.jpg
